Particulars,Note,CurrentYear,PreviousYear
Revenue from operations,18,34515.68,23877.19
Other income,19,386.84,559.91
Total income,,34902.52,24437.10
EXPENSES,,,
Cost of raw materials and components consumed,20a,2616.15,2477.91
Purchases of stock-in-trade,20b,12881.05,10944.63
"Changes in inventories of finished goods, stock-in-trade and work-in-",21,-360.93,-2554.46
progress,,,
Employee benefits expense,22,4186.94,3786.84
Finance costs,23,1078.52,928.18
Depreciation and amortisation expense,24,2947.84,2419.64
Other expenses,25,7254.60,5037.34
Total expenses,,30604.17,23040.08
Profit before tax,,4298.35,1397.02
Tax expense:,,,
Current tax,6,1160.02,42.92
Deferred tax credit/ (charge),6,-91.71,324.17
Total tax expense,,1068.31,367.09
Profit for the year,,3230.04,1029.93
Other comprehensive income,,,
Items that will not be reclassified to profit or loss:,,,
Re-measurement of defined benefit obligations,28,13.75,-5.81
Income tax relating to above item,6,-3.46,1.46
"Other comprehensive income for the year, net of tax",,10.29,-4.35
Total comprehensive income for the year,,3240.33,1025.58
Earnings per equity share,,,
(Face value of INR 5 each) (refer note 12),,,
(1) Basic (INR),27,25.13,8.01
(2) Diluted (INR),27,25.13,8.01
The above consolidated statement of profit and loss should be read,in conjunction,withtheaccompanying,notes
This is the consolidated statement of profit and loss referred to in,our report of even,date,
For Price Waterhouse Chartered Accountants LLP For and on,behalf of the Board,ofDirectorsofBata,IndiaLimited
Firm Registration Number: 012754N/N500016,,,
Rajib Chatterjee Gunjan Dineshkumar,Shah,AshokKumar,Barat
Partner Managing Director,& CEO,Independent,Director
Membership no.: 057134 DIN: 08525366,,DIN:00492930,
Anil Ramesh,Somani,NitinBagaria,
Director Finance,& CFO,Company,Secretary
DIN: 10119789,,Membership,no.ACS20228
