Particulars,Note,CurrentYear,PreviousYear
Revenue from operations,18,34887.86,34786.10
Other income,19,655.79,617.17
Total income,,35543.65,35403.27
Expenses,,,
Cost of raw materials and components consumed,20a,2597.42,2439.16
Purchases of stock-in-trade,20b,11481.08,12810.34
"Changes in inventories of finished goods,",21,1165.68,-327.23
stock-in-trade and work-in-progress,,,
Employee benefits expense,22,4623.69,4199.64
Finance costs,23,1284.75,1170.05
Depreciation and amortisation expense,24,3713.01,3390.81
Other expenses,25,7645.93,7805.18
Total expenses,,32511.56,31487.95
Profit before exceptional items and tax,,3032.09,3915.32
Exceptional items,35,,
- Expense towards VRS,,107.84,409.00
- Gain on sale of land (net of related expenses),,-1339.52,0
Profit before tax,,4263.77,3506.32
Tax expense:,,,
Current tax,6,1112.36,1014.63
Deferred tax credit,6,-155.15,-133.42
Total tax expense,,957.21,881.21
Profit for the year,,3306.56,2625.11
Other comprehensive income,,,
Items that will not be reclassified to profit or loss:,,,
Re-measurement of post-employment benefit obligations,28,2.34,-4.23
Income tax relating to above item,6(d),-0.59,1.07
"Other comprehensive income for the year, net of tax",,1.75,-3.16
Total comprehensive income for the year,,3308.31,2621.95
Earnings per equity share,,,
(Face value of INR 5 each) (refer note 12),,,
(1) Basic (INR),27,25.73,20.42
(2) Diluted (INR),27,25.73,20.42
The above consolidated statement of profit and loss should,be read in,conjunctionwiththe,accompanyingnotes
This is the consolidated statement of profit and loss referred,to in our report,ofevendate,
For Price Waterhouse Chartered Accountants LLP For,and on behalf of the,BoardofDirectorsof,
Firm Registration Number.: 012754N/N500016 Bata,India Limited,,
Rajib Chatterjee,Gunjan Dineshkumar,ShahMukeshHari,Butani
Partner,Managing Director & CEO,Independent,Director
Membership no.: 057134 DIN:,08525366,DIN:01452839,
Amit,Aggarwal,NitinBagaria,
DIN:,10825970,Membership,no.ACS20228
Place: Gurugram Place:,Gurugram,,
Date: 28 May 2025 Date:,28 May 2025,,
