Particulars,Note,CurrentYear,PreviousYear
Revenue from operations,18,34786.10,34515.68
Other income,19,617.17,386.84
Total income,,35403.27,34902.52
Expenses,,,
Cost of raw materials and components consumed,20a,2439.16,2616.15
Purchases of stock-in-trade,20b,12810.34,12881.05
"Changes in inventories of finished goods,",21,-327.23,-360.93
stock-in-trade and work-in-progress,,,
Employee benefits expense,22,4199.64,4186.94
Finance costs,23,1170.05,1078.52
Depreciation and amortisation expense,24,3390.81,2947.84
Other expenses,25,7805.18,7254.60
Total expenses,,31487.95,30604.17
Profit before exceptional item and tax,,3915.32,4298.35
Exceptional item,35,409.00,0
Profit before tax,,3506.32,4298.35
Tax expense:,,,
Current tax,6,1014.63,1160.02
Deferred tax credit,6,-133.42,-91.71
Total tax expense,,881.21,1068.31
Profit for the year,,2625.11,3230.04
Other comprehensive income,,,
Items that will not be reclassified to profit or loss:,,,
Re-measurement of defined benefit obligations,28,-4.23,13.75
Income tax relating to above item,6,1.07,-3.46
"Other comprehensive income for the year, net of tax",,-3.16,10.29
Total comprehensive income for the year,,2621.95,3240.33
Earnings per equity share,,,
(Face value of INR 5 each) (refer note 12),,,
(1) Basic (INR),27,20.42,25.13
(2) Diluted (INR),27,20.42,25.13
The above consolidated statement of profit and loss should,be read in,conjunctionwiththe,accompanyingnotes
This is the consolidated statement of profit and loss referred,to in our report,ofevendate,
For Price Waterhouse Chartered Accountants LLP For,and on behalf of,theBoardofDirectors,of
Firm Registration Number.: 012754N/N500016 Bata,India Limited,,
Rajib Chatterjee,Gunjan Dineshkumar,ShahAshokKumar,Barat
Partner,Managing Director &,CEOIndependent,Director
Membership no.: 057134 DIN:,08525366,DIN:00492930,
Anil,Ramesh Somani,NitinBagaria,
DIN:,10119789,Membership,no.ACS20228
Place: Gurugram,Place: Gurugram,,
