Particulars,Note,CurrentYear,PreviousYear
Revenue from Operations,20,2653.27,2359.15
Other Income,21,23.72,22.77
Total Income,,2676.99,2381.92
EXPENSES,,,
"Cost of Materials Consumed, including Packing Material",,1307.88,863.85
Purchases of Stock-in-Trade,,81.13,95.28
"Changes in Inventories of Finished Goods, Stock-in-Trade and Work-in-Progress",22,-172.31,44.15
Employee Benefits Expense,23,334.69,301.39
Finance Costs,24,15.33,17.08
Depreciation and Amortisation Expense,25,113.54,110.02
Other Expenses,26,686.13,558.99
Total Expenses,,2366.39,1990.76
Profit Before Tax,,310.60,391.16
Tax Expense,27,,
Current Tax,,80.84,102.03
Deferred Tax,,-3.06,-2.43
Tax for Earlier years,,0.14,0
Profit for the year,,232.68,291.56
Other Comprehensive Income not to be reclassified to Profit or Loss,,,
Remeasurement Gains / (Losses) on Defined Benefit Plan,31(b),0.42,1.93
Income Tax effect on above,,-0.11,-0.48
Total Comprehensive Income for the year,,232.99,293.01
(Comprising Profit and Other Comprehensive Income for the year),,,
Earnings Per Equity Share of H1/- each (In D),33,,
Basic,,9.36,11.74
Diluted,,9.35,11.72
Significant Accounting Policies,29,,
The accompanying notes are an integral part of financial statements.,,,
As per our report of even date,For and on behalf,oftheBoardofDirectors,
For B R Maheswari & Co LLP,Ramesh Kumar,DuaMukand,LalDua
Chartered Accountants,Managing Director,Whole,TimeDirector
Firm’s Registration No. 001035N/N500050,DIN :00157872,DIN,:00157898
Akshay Maheshwari,,,
Partner,Sushil Batra,Vikas,KumarTak
Membership No. 504704,Chief Financial,OfficerCompany,Secretary
"Delhi, May 11, 2022",,,
