Particulars,Note,CurrentYear,PreviousYear
INCOME,,,
Revenue from Operations,20,2789.61,2914.06
Other Income,21,26.96,28.86
Total Income,,2816.57,2942.92
EXPENSES,,,
"Cost of Materials Consumed, including Packing Material",,1037.83,1156.74
Purchases of Stock-in-Trade,,105.57,85.10
"Changes in Inventories of Finished Goods, Stock-in-Trade and Work-in-Progress",22,5.53,-22.14
Employee Benefits Expense,23,400.55,389.10
Finance Costs,24,20.66,18.69
Depreciation and Amortisation Expense,25,158.43,147.49
Other Expenses,26,858.13,898.67
Total Expenses,,2586.70,2673.65
Profit Before Tax,,229.87,269.27
Tax Expense,27,,
Current Tax,,60.40,67.23
Deferred Tax,,-0.86,1.57
Profit for the year,,170.33,200.47
Other Comprehensive Income not to be reclassified to Profit or Loss,,,
Remeasurement Gains / (Losses) on Defined Benefit Plan,33(b),1.75,2.82
Income Tax effect on above,,-0.44,-0.71
Total Comprehensive Income for the year,,171.64,202.58
(Comprising Profit and Other Comprehensive Income for the year),,,
Earnings Per Equity Share (Face Value of H1/- each) (In H),35,,
Basic,,6.84,8.05
Diluted,,6.84,8.05
Material Accounting Policies (Refer note no. 31),,,
The accompanying notes are an integral part of financial statements.,,,
As per our report of even date For and on,behalf of the Board of,Directors,
For Gupta & Dua Ramesh Kumar,Dua,Mukand,LalDua
Chartered Accountants Chairman &,Managing Director,WholeTime,Director
Firm’s Registration No.: 003849N DIN: 00157872,,DIN:00157898,
Mukesh Dua Sushil Batra,,AnkitJain,
Partner Executive,Director & Chief Financial,OfficerCompany,Secretary
Membership No.: 085323 DIN: 09351823,,Membership,No.:FCS8188
"Delhi, May 9, 2025",,,
