Particulars,Note,CurrentYear,PreviousYear
INCOME,,,
Revenue from Operations,20,2914.06,2782.77
Other Income,21,28.86,18.57
Total Income,,2942.92,2801.34
EXPENSES,,,
"Cost of Materials Consumed, including Packing Material",,1156.74,1183.19
Purchases of Stock-in-Trade,,85.10,73.46
"Changes in Inventories of Finished Goods, Stock-in-Trade and Work-in-Progress",22,-22.14,77.67
Employee Benefits Expense,23,389.10,343.25
Finance Costs,24,18.69,19.24
Depreciation and Amortisation Expense,25,147.49,125.10
Other Expenses,26,898.67,769.42
Total Expenses,,2673.65,2591.33
Profit Before Tax,,269.27,210.01
Tax Expense,27,,
Current Tax,,67.23,54.59
Deferred Tax,,1.57,0.95
Profit for the year,,200.47,154.47
Other Comprehensive Income not to be reclassified to Profit or Loss,,,
Remeasurement Gains / (Losses) on Defined Benefit Plan,31(b),2.82,2.62
Income Tax effect on above,,-0.71,-0.66
Total Comprehensive Income for the year,,202.58,156.43
(Comprising Profit and Other Comprehensive Income for the year),,,
Earnings Per Equity Share (Face Value of H1/- each) (In H),33,,
Basic,,8.05,6.21
Diluted,,8.05,6.21
Material Accounting Policies (Refer note no. 29),,,
The accompanying notes are an integral part of financial statements.,,,
As per our report of even date For and on,behalf of the Board of,Directors,
For Gupta & Dua Ramesh Kumar,Dua,Mukand,LalDua
Chartered Accountants Chairman &,Managing Director,WholeTime,Director
Firm’s Registration No.: 003849N DIN: 00157872,,DIN:00157898,
Mukesh Dua Sushil Batra,,AnkitJain,
Partner Executive,Director & Chief Financial,OfficerCompany,Secretary
Membership No.: 085323 DIN: 09351823,,Membership,No.:FCS8188
"Delhi, May 9, 2024",,,
